future_code,multiplier,contract_unit,margin_rate,price_unit,last_trading_date,tick_size
CDB3_2409,2000000,手,0.005,100,,0.005
CDB5_2409,1000000,手,0.012,100,,0.005
CDB10_2409,1000000,手,0.02,100,,0.005
T2509ZJ,1000000,手,0.02,100,,0.005
TF2509ZJ,1000000,手,0.012,100,,0.005
TS2509ZJ,2000000,手,0.005,100,,0.005
T2509,1000000,手,0.02,100,,0.005
TF2509,1000000,手,0.012,100,,0.005
TS2509,2000000,手,0.005,100,,0.005
T2506,1000000,手,0.02,100,,0.005
TF2506,1000000,手,0.012,100,,0.005
TS2506,2000000,手,0.005,100,,0.005
T2512,1000000,手,0.02,100,,0.005
TF2512,1000000,手,0.012,100,,0.005
TS2512,2000000,手,0.005,100,,0.005
TL2506,1000000,手,0.035,100,,0.005
TL2509,1000000,手,0.035,100,,0.005
TL2512,1000000,手,0.035,100,,0.005
TL,1000000,手,0.035,100,,0.005
TS,2000000,手,0.005,100,,0.005
T,1000000,手,0.02,100,,0.005
TF,1000000,手,0.012,100,,0.005
A2507DL,10,吨/手,0.08,1,,1
AG2508SQ,15,千克/手,0.10,1,,1
AG,15,千克/手,0.10,1,,1
AU,1000,克/手,0.08,0.01,,0.02
AL2507SQ,5,吨/手,0.08,1,,1
C2507DL,10,吨/手,0.08,1,,1
CF2509ZZ,5,吨/手,0.08,1,,1
CU2507SQ,5,吨/手,0.10,1,,1
HC2510SQ,10,吨/手,0.10,1,,1
MA2509ZZ,10,吨/手,0.08,1,,1
NI2507SQ,1,吨/手,0.10,1,,1
P2509DL,10,吨/手,0.08,1,,1
PP2509DL,5,吨/手,0.08,1,,1
RB2510SQ,10,吨/手,0.10,1,,1
SR2509ZZ,10,吨/手,0.08,1,,1
TA2509ZZ,5,吨/手,0.08,1,,1
V2509DL,5,吨/手,0.08,1,,1
Y2509DL,10,吨/手,0.08,1,,1
ZN2507SQ,5,吨/手,0.08,1,,1
CDB,1000000,手,0.012,100,,0.005
A,10,吨/手,0.08,1,,1
AL,5,吨/手,0.08,1,,1
C,10,吨/手,0.08,1,,1
CF,5,吨/手,0.08,1,,1
CU,5,吨/手,0.10,1,,1
HC,10,吨/手,0.10,1,,1
MA,10,吨/手,0.08,1,,1
NI,1,吨/手,0.10,1,,1
P,10,吨/手,0.08,1,,1
PP,5,吨/手,0.08,1,,1
RB,10,吨/手,0.10,1,,1
SR,10,吨/手,0.08,1,,1
TA,5,吨/手,0.08,1,,1
V,5,吨/手,0.08,1,,1
Y,10,吨/手,0.08,1,,1
ZN,5,吨/手,0.08,1,,1
IF,300,手,0.12,1,,0.2
IH,300,手,0.12,1,,0.2
IC,200,手,0.12,1,,0.2
IM,200,手,0.12,1,,0.2
IO,100,手,0.12,1,,0.2
MO,100,手,0.12,1,,0.2
EG,10,吨/手,0.08,1,,1
EB,5,吨/手,0.08,1,,1
PG,20,吨/手,0.10,1,,1
LU,10,吨/手,0.10,1,,1
FU,10,吨/手,0.10,1,,1
SC,1000,桶/手,0.10,1,,0.1
NR,10,吨/手,0.10,1,,1
SS,5,吨/手,0.09,1,,1
SP,10,吨/手,0.08,1,,1
UR,20,吨/手,0.08,1,,1
SA,20,吨/手,0.09,1,,1
PF,5,吨/手,0.08,1,,1
PX,5,吨/手,0.08,1,,1
SH,30,吨/手,0.08,1,,1
LC,1,吨/手,0.12,1,,1
SI,5,吨/手,0.09,1,,1
AO,20,吨/手,0.09,1,,1
BR,10,吨/手,0.09,1,,1
PR,15,吨/手,0.08,1,,1
PS,5,吨/手,0.08,1,,1
SF,5,吨/手,0.09,1,,1
SM,5,吨/手,0.09,1,,1
AP,10,吨/手,0.10,1,,1
CJ,5,吨/手,0.09,1,,1
PK,5,吨/手,0.08,1,,1
OI,10,吨/手,0.09,1,,1
RM,10,吨/手,0.08,1,,1
WH,20,吨/手,0.08,1,,1
PM,50,吨/手,0.08,1,,1
RI,20,吨/手,0.08,1,,1
LR,20,吨/手,0.08,1,,1
JR,20,吨/手,0.08,1,,1
RS,10,吨/手,0.08,1,,1
CY,5,吨/手,0.08,1,,1
JD,10,吨/手,0.08,1,,1
FB,10,立方米/手,0.10,1,,1
BB,10,立方米/手,0.10,1,,1
LH,16,吨/手,0.08,1,,1
M,10,吨/手,0.08,1,,1
B,10,吨/手,0.08,1,,1
CS,10,吨/手,0.08,1,,1
RR,10,吨/手,0.08,1,,1
L,5,吨/手,0.08,1,,1
J,60,吨/手,0.12,1,,0.5
JM,60,吨/手,0.12,1,,0.5
I,100,吨/手,0.11,1,,0.5
