instrument_code,product_type,fee_type,buy_sell,rate,min_amount,max_amount,is_annualized,calc_base,currency,description
# ============================================================
# 股票（A股）
# ============================================================
*,EQUITYSPOT,TRANSACTION,BOTH,0.0003,5.0,0,0,NOTIONAL,CNY,股票佣金（双边，0.03%）
*,EQUITYSPOT,STAMP_DUTY,SELL,0.0005,0,0,0,NOTIONAL,CNY,印花税（单边卖出，0.05%）
# ============================================================
# 基金 / 权益ETF（通用默认）
# ============================================================
*,FUND,TRANSACTION,BOTH,0.0015,5.0,1000.0,0,NOTIONAL,CNY,基金/ETF手续费（0.15%，最低5元，最高1000元）
*,FUND,MANAGEMENT,BOTH,0.005,0,0,1,NOTIONAL,CNY,管理费（年化0.5%）
*,FUND,CUSTODY,BOTH,0.001,0,0,1,NOTIONAL,CNY,托管费（年化0.1%）
*,FUND,SUBSCRIPTION,BUY,0.0015,0,0,0,NOTIONAL,CNY,申购费（0.15%）
*,FUND,REDEMPTION,SELL,0.0015,0,0,0,NOTIONAL,CNY,赎回费（0.15%）
# ============================================================
# 债券 ETF / 债券基金（费率低于权益ETF默认，需精确覆盖）
# 涵盖原 fund_fees.csv 中 transaction=0.001 管理=0.003 托管=0.0005 上限500 的代码
# ============================================================
511090SH,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券ETF手续费
511090SH,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券ETF管理费
511090SH,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券ETF托管费
511090SH,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券ETF申购费
511090SH,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券ETF赎回费
511130SH,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券ETF手续费
511130SH,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券ETF管理费
511130SH,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券ETF托管费
511130SH,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券ETF申购费
511130SH,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券ETF赎回费
511520SH,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券ETF手续费
511520SH,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券ETF管理费
511520SH,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券ETF托管费
511520SH,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券ETF申购费
511520SH,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券ETF赎回费
511110SH,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券ETF手续费
511110SH,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券ETF管理费
511110SH,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券ETF托管费
511110SH,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券ETF申购费
511110SH,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券ETF赎回费
511200SH,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券ETF手续费
511200SH,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券ETF管理费
511200SH,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券ETF托管费
511200SH,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券ETF申购费
511200SH,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券ETF赎回费
008069OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
008069OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
008069OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
008069OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
008069OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
017156OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
017156OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
017156OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
017156OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
017156OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
018996OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
018996OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
018996OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
018996OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
018996OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
019482OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
019482OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
019482OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
019482OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
019482OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
020084OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
020084OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
020084OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
020084OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
020084OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
110008OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
110008OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
110008OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
110008OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
110008OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
161115OF,FUND,TRANSACTION,BOTH,0.001,5.0,500.0,0,NOTIONAL,CNY,债券基金手续费
161115OF,FUND,MANAGEMENT,BOTH,0.003,0,0,1,NOTIONAL,CNY,债券基金管理费
161115OF,FUND,CUSTODY,BOTH,0.0005,0,0,1,NOTIONAL,CNY,债券基金托管费
161115OF,FUND,SUBSCRIPTION,BUY,0.001,0,0,0,NOTIONAL,CNY,债券基金申购费
161115OF,FUND,REDEMPTION,SELL,0.001,0,0,0,NOTIONAL,CNY,债券基金赎回费
# ============================================================
# 国债期货（BONDFUTURE）
# ============================================================
*,BONDFUTURE,TRANSACTION,BOTH,0.000023,0,0,0,NOTIONAL,CNY,国债期货手续费（约2.3‱）
# ============================================================
# 商品期货（COMMODITYFUTURE）
# ============================================================
*,COMMODITYFUTURE,TRANSACTION,BOTH,0.0005,0,0,0,NOTIONAL,CNY,商品期货手续费（0.05%）
# ============================================================
# 贵金属期货（PRECIOUSMETALSFUTURES）
# ============================================================
*,PRECIOUSMETALSFUTURES,TRANSACTION,BOTH,0.0002,0,0,0,NOTIONAL,CNY,贵金属期货手续费（0.02%）
# ============================================================
# 股票期权（EQUITYOPTION）/ 商品期权（COMMODITYOPTION）/ FX期权（FXOPTION）
# ============================================================
*,EQUITYOPTION,TRANSACTION,BOTH,0.0003,1.0,0,0,NOTIONAL,CNY,股票期权手续费（0.03%）
*,COMMODITYOPTION,TRANSACTION,BOTH,0.0003,0,0,0,NOTIONAL,CNY,商品期权手续费（0.03%）
*,FXOPTION,TRANSACTION,BOTH,0.0002,0,0,0,NOTIONAL,CNY,FX期权手续费（0.02%）
# ============================================================
# FX 即期 / 远期 / NDF（FXSPOT / FXFORWARD / FXNDF）
# ============================================================
*,FXSPOT,TRANSACTION,BOTH,0.0001,0,0,0,NOTIONAL,CNY,FX即期手续费（0.01%）
*,FXFORWARD,TRANSACTION,BOTH,0.0001,0,0,0,NOTIONAL,CNY,FX远期手续费（0.01%）
*,FXNDF,TRANSACTION,BOTH,0.0001,0,0,0,NOTIONAL,CNY,FX NDF手续费（0.01%）
# ============================================================
# 债券（BOND / ABS）
# ============================================================
*,BOND,TRANSACTION,BOTH,0.00005,0,0,0,NOTIONAL,CNY,债券交易手续费（0.5‱）
*,ABS,TRANSACTION,BOTH,0.00005,0,0,0,NOTIONAL,CNY,ABS交易手续费（0.5‱）
# ============================================================
# 普通股权衍生品（结构化）
# ============================================================
*,STRUCTUREDDERIVATIVE,TRANSACTION,BOTH,0.0002,0,0,0,NOTIONAL,CNY,结构化衍生品手续费（0.02%）
# ============================================================
# 单一标的精确覆盖示例（取消注释即生效）
# 000333.SZ,EQUITYSPOT,TRANSACTION,BOTH,0.0002,5.0,0,0,NOTIONAL,CNY,美的集团单独协议佣金
# ============================================================
