bond_code,bond_name,maturity_date,coupon_rate,frequency,coupon_type,issuer,credit_rating,industry,interest_type,is_perpetual,is_option_embedded,is_seo,pre_repay_principal_date,pre_repay_principal_ratio,pre_repay_principal_method
102382884.IB,23新津新城MTN002,2028-10-27,0.042,1.0,附息,新津新城,AAA,中期票据,累进利率,否,是,否,,,
102400640.IB,24华发集团MTN004,2029-03-07,0.0313,1.0,附息,华发集团,AAA,中期票据,固定利率,否,否,否,,,
102400935.IB,24临沂投资MTN002,2029-09-03,0.0297,1.0,附息,临沂投发,,中期票据,固定利率,否,否,否,,,
102480571.IB,24启东城投MTN001,2027-02-28,0.0273,1.0,附息,启东城投,,中期票据,固定利率,否,否,否,,,
102480893.IB,24海兴MTN003,2027-03-15,0.0294,1.0,附息,海兴集团,,中期票据,固定利率,否,否,否,,,
102482310.IB,24简阳发展MTN001,2029-06-17,0.028,1.0,附息,简阳发展,AAA,中期票据,固定利率,否,否,否,,,
102482724.IB,24水发集团MTN006,2029-06-26,0.0311,1.0,附息,水发集团,AAA,中期票据,固定利率,否,否,否,,,
102482815.IB,24永州经投MTN001,2029-07-02,0.025,1.0,附息,永州经投,,中期票据,累进利率,否,是,否,,,
102482940.IB,24上饶投资MTN002,2029-07-11,0.0258,1.0,附息,上饶投控,,中期票据,固定利率,否,否,否,,,
102483153.IB,24水发集团MTN007,2029-07-24,0.0296,1.0,附息,水发集团,AAA,中期票据,固定利率,否,否,否,,,
102483418.IB,24华山旅游MTN001,2029-08-09,0.0258,1.0,附息,华山旅游,,中期票据,固定利率,否,否,否,,,
102483490.IB,24华发集团MTN013,2029-08-13,0.0268,1.0,附息,华发集团,AAA,中期票据,固定利率,否,否,否,,,
102501259.IB,25涪陵新城MTN002,2030-03-19,0.0316,1.0,附息,涪陵新城,,中期票据,固定利率,否,否,否,,,
102580228.IB,25荆门城建MTN001B,2030-01-14,0.03,1.0,附息,荆门城建,,中期票据,固定利率,否,否,否,,,
102580332.IB,25华发集团MTN002,2030-01-17,0.0296,1.0,附息,华发集团,AAA,中期票据,固定利率,否,否,否,,,
102580417.IB,25水发集团MTN002,2030-01-22,0.0327,1.0,附息,水发集团,AAA,中期票据,固定利率,否,否,否,,,
102580457.IB,25临沂投资MTN001,2030-01-23,0.0312,1.0,附息,临沂投发,,中期票据,固定利率,否,否,否,,,
102580632.IB,25涪陵交通MTN001A,2030-02-19,0.029,1.0,附息,涪陵交旅,,中期票据,固定利率,否,否,否,,,
102581034.IB,25咸阳城发MTN001,2030-03-12,0.0369,1.0,附息,咸阳城发,,中期票据,固定利率,否,否,否,,,
102581038.IB,25临沂投资MTN003,2030-03-12,0.036,1.0,附息,临沂投发,,中期票据,固定利率,否,否,否,,,
102581312.IB,25西安世园MTN001,2030-03-24,0.0305,1.0,附息,西安世园,AAA,中期票据,固定利率,否,否,否,,,
102581965.IB,25西安世园MTN003,2030-04-29,0.03,1.0,附息,西安世园,AAA,中期票据,固定利率,否,否,否,,,
102582407.IB,25西安科建MTN001(科创债),2030-06-16,0.028,1.0,附息,高科建材,AAA,中期票据,固定利率,否,否,否,,,
