instrument_code,valuation_date,price,volume
000001.SZ,2026-06-08,11.03,109092646.0
000001.SZ,2026-06-09,11.13,114967234.0
000001.SZ,2026-06-10,11.32,154317639.0
000001.SZ,2026-06-11,11.3,115622222.0
000001.SZ,2026-06-12,11.24,203235546.0
000001.SZ,2026-06-15,11.06,154130495.0
000001.SZ,2026-06-16,10.94,94270804.0
000001.SZ,2026-06-17,10.78,96582803.0
000001.SZ,2026-06-18,10.52,142689316.0
000001.SZ,2026-06-22,10.65,126531672.0
000001.SZ,2026-06-23,10.71,119060407.0
000001.SZ,2026-06-24,10.51,112584114.0
000001.SZ,2026-06-25,10.42,108399905.0
000002.SZ,2026-06-08,3.14,152490466.0
000002.SZ,2026-06-09,3.12,128012341.0
000002.SZ,2026-06-10,3.15,119819234.0
000002.SZ,2026-06-11,3.12,117393403.0
000002.SZ,2026-06-12,3.16,141447624.0
000002.SZ,2026-06-15,3.13,127420017.0
000002.SZ,2026-06-16,3.07,113953949.0
000002.SZ,2026-06-17,3.09,165419700.0
000002.SZ,2026-06-18,3.06,161508344.0
000002.SZ,2026-06-22,3.11,165890426.0
000002.SZ,2026-06-23,3.09,156292425.0
000002.SZ,2026-06-24,2.97,153211485.0
000002.SZ,2026-06-25,2.95,138337345.0
000004.SZ,2026-06-23,0.31,25173355.0
000004.SZ,2026-06-24,0.28,4323700.0
000004.SZ,2026-06-25,0.26,12779843.0
000006.SZ,2026-06-08,7.96,39058969.0
000006.SZ,2026-06-09,7.96,29236071.0
000006.SZ,2026-06-10,8.0,25552951.0
000006.SZ,2026-06-11,7.85,22845939.0
000006.SZ,2026-06-12,7.85,23778961.0
000006.SZ,2026-06-15,7.88,20588790.0
000006.SZ,2026-06-16,7.93,33482519.0
000006.SZ,2026-06-17,7.74,21971700.0
000006.SZ,2026-06-18,8.21,61663420.0
000006.SZ,2026-06-22,7.79,42863747.0
000006.SZ,2026-06-23,7.86,28265958.0
000006.SZ,2026-06-24,7.52,28297748.0
000006.SZ,2026-06-25,7.36,22670823.0
000007.SZ,2026-06-08,12.24,11147400.0
000007.SZ,2026-06-09,13.13,14894800.0
000007.SZ,2026-06-10,13.84,19208650.0
000007.SZ,2026-06-11,13.93,12883700.0
000007.SZ,2026-06-12,14.08,10759600.0
000007.SZ,2026-06-15,14.09,9560450.0
000007.SZ,2026-06-16,14.34,6919300.0
000007.SZ,2026-06-17,13.64,12853046.0
000007.SZ,2026-06-18,13.68,7721500.0
000007.SZ,2026-06-22,13.19,10708003.0
000007.SZ,2026-06-23,13.22,8885362.0
000007.SZ,2026-06-24,13.63,7853074.0
000007.SZ,2026-06-25,13.03,8413300.0
000008.SZ,2026-06-08,2.55,37265300.0
000008.SZ,2026-06-09,2.54,17824956.0
000008.SZ,2026-06-10,2.5,25190200.0
000008.SZ,2026-06-11,2.4,34942600.0
000008.SZ,2026-06-12,2.45,26704560.0
000008.SZ,2026-06-15,2.56,41467506.0
000008.SZ,2026-06-16,2.54,22526634.0
000008.SZ,2026-06-17,2.5,24777583.0
000008.SZ,2026-06-18,2.45,21244967.0
000008.SZ,2026-06-22,2.46,27040034.0
000008.SZ,2026-06-23,2.45,23260400.0
000008.SZ,2026-06-24,2.41,33583800.0
000008.SZ,2026-06-25,2.34,24676619.0
000009.SZ,2026-06-08,6.95,25958438.0
000009.SZ,2026-06-09,7.03,18698696.0
000009.SZ,2026-06-10,7.01,16438360.0
000009.SZ,2026-06-11,6.85,18488186.0
000009.SZ,2026-06-12,7.06,36912854.0
000009.SZ,2026-06-15,6.97,36703682.0
000009.SZ,2026-06-16,7.08,38631573.0
000009.SZ,2026-06-17,6.99,18263363.0
000009.SZ,2026-06-18,6.84,25115642.0
000009.SZ,2026-06-22,6.88,27339282.0
000009.SZ,2026-06-23,6.77,22833859.0
000009.SZ,2026-06-24,6.64,24335925.0
000009.SZ,2026-06-25,6.58,23527413.0
000010.SZ,2026-06-08,2.31,56483700.0
000010.SZ,2026-06-09,2.43,18324458.0
000010.SZ,2026-06-10,2.31,28326500.0
000010.SZ,2026-06-11,2.19,22424900.0
000010.SZ,2026-06-12,2.21,30740198.0
000010.SZ,2026-06-15,2.12,28430023.0
000010.SZ,2026-06-16,2.1,23773100.0
000010.SZ,2026-06-17,2.0,29079323.0
000010.SZ,2026-06-18,1.9,27426298.0
000010.SZ,2026-06-22,1.94,32832168.0
000010.SZ,2026-06-23,2.0,21007800.0
000010.SZ,2026-06-24,1.91,19537200.0
000010.SZ,2026-06-25,1.82,17035900.0
000011.SZ,2026-06-08,7.17,5811500.0
000011.SZ,2026-06-09,7.14,3496851.0
000011.SZ,2026-06-10,7.32,4896870.0
000011.SZ,2026-06-11,7.19,3410800.0
000011.SZ,2026-06-12,7.51,6759651.0
000011.SZ,2026-06-15,7.61,9337411.0
000011.SZ,2026-06-16,7.45,4275900.0
000011.SZ,2026-06-17,7.44,4664070.0
000011.SZ,2026-06-18,7.33,9279628.0
000011.SZ,2026-06-22,7.21,7947600.0
000011.SZ,2026-06-23,7.36,6020910.0
000011.SZ,2026-06-24,7.01,7046001.0
000011.SZ,2026-06-25,6.86,3871202.0
000012.SZ,2026-06-08,4.31,82811298.0
000012.SZ,2026-06-09,4.4,68624961.0
000012.SZ,2026-06-10,4.23,57598499.0
000012.SZ,2026-06-11,4.08,55691975.0
000012.SZ,2026-06-12,4.0,59190002.0
000012.SZ,2026-06-15,4.11,51028784.0
000012.SZ,2026-06-16,4.52,42846997.0
000012.SZ,2026-06-17,4.63,172615705.0
000012.SZ,2026-06-18,4.3,106536367.0
000012.SZ,2026-06-22,4.73,91565586.0
000012.SZ,2026-06-23,4.67,155058221.0
000012.SZ,2026-06-24,4.63,111781073.0
000012.SZ,2026-06-25,4.77,114398568.0
000014.SZ,2026-06-08,10.35,5294760.0
000014.SZ,2026-06-09,10.36,5009360.0
000014.SZ,2026-06-10,10.32,4514287.0
000014.SZ,2026-06-11,10.15,4031100.0
000014.SZ,2026-06-12,10.31,3903301.0
000014.SZ,2026-06-15,10.29,4714100.0
000014.SZ,2026-06-16,10.1,3847288.0
000014.SZ,2026-06-17,9.89,5630660.0
000014.SZ,2026-06-18,9.93,6538135.0
000014.SZ,2026-06-22,9.95,7206720.0
000014.SZ,2026-06-23,10.16,7069460.0
000014.SZ,2026-06-24,9.61,6758700.0
000014.SZ,2026-06-25,9.58,8350775.0
000016.SZ,2026-06-08,3.06,28754136.0
000016.SZ,2026-06-09,3.08,16566623.0
000016.SZ,2026-06-10,2.94,40037512.0
000016.SZ,2026-06-11,2.81,30254300.0
000016.SZ,2026-06-12,2.84,21631350.0
000016.SZ,2026-06-15,2.86,21522600.0
000016.SZ,2026-06-16,2.9,23569200.0
000016.SZ,2026-06-17,2.82,18126497.0
000016.SZ,2026-06-18,2.68,29653000.0
000016.SZ,2026-06-22,2.56,30736472.0
000016.SZ,2026-06-23,2.62,21075204.0
000016.SZ,2026-06-24,2.49,27283800.0
000016.SZ,2026-06-25,2.37,25857700.0
000017.SZ,2026-06-08,5.05,9734500.0
000017.SZ,2026-06-09,5.12,8567248.0
000017.SZ,2026-06-10,5.05,6929628.0
000017.SZ,2026-06-11,5.02,7259691.0
000017.SZ,2026-06-12,5.14,9227100.0
000017.SZ,2026-06-15,5.19,7892000.0
000017.SZ,2026-06-16,5.27,11412088.0
000017.SZ,2026-06-17,5.16,7610126.0
000017.SZ,2026-06-18,5.15,6364200.0
000017.SZ,2026-06-22,5.23,8783239.0
000017.SZ,2026-06-23,5.29,10954186.0
000017.SZ,2026-06-24,5.22,8187088.0
000017.SZ,2026-06-25,5.12,7115658.0
000019.SZ,2026-06-08,6.34,9274237.0
000019.SZ,2026-06-09,6.27,7338706.0
000019.SZ,2026-06-10,6.3,6605243.0
000019.SZ,2026-06-11,6.55,14279282.0
000019.SZ,2026-06-12,6.59,16614639.0
000019.SZ,2026-06-15,6.48,12278597.0
000019.SZ,2026-06-16,6.36,6917582.0
000019.SZ,2026-06-17,6.22,8348450.0
000019.SZ,2026-06-18,6.16,6045824.0
000019.SZ,2026-06-22,6.1,7745416.0
000019.SZ,2026-06-23,6.1,6681527.0
000019.SZ,2026-06-24,5.89,7960662.0
000019.SZ,2026-06-25,5.78,6109756.0
000020.SZ,2026-06-08,11.87,3699400.0
000020.SZ,2026-06-09,11.99,3421900.0
000020.SZ,2026-06-10,11.77,2927300.0
000020.SZ,2026-06-11,11.69,2858200.0
000020.SZ,2026-06-12,11.69,2987900.0
000020.SZ,2026-06-15,11.95,3558300.0
000020.SZ,2026-06-16,12.2,4169900.0
000020.SZ,2026-06-17,11.87,3747101.0
000020.SZ,2026-06-18,11.54,3395331.0
000020.SZ,2026-06-22,11.64,3994865.0
000020.SZ,2026-06-23,11.75,4702100.0
000020.SZ,2026-06-24,11.26,4815300.0
000020.SZ,2026-06-25,11.07,4172300.0
000021.SZ,2026-06-08,35.37,118688332.0
000021.SZ,2026-06-09,37.54,112173062.0
000021.SZ,2026-06-10,38.56,144776827.0
000021.SZ,2026-06-11,39.08,129823663.0
000021.SZ,2026-06-12,37.09,144514088.0
000021.SZ,2026-06-15,39.47,132792573.0
000021.SZ,2026-06-16,40.77,156335984.0
000021.SZ,2026-06-17,42.91,165493146.0
000021.SZ,2026-06-18,44.04,188609924.0
000021.SZ,2026-06-22,46.68,192525853.0
000021.SZ,2026-06-23,45.7,177339153.0
000021.SZ,2026-06-24,50.27,190999341.0
000021.SZ,2026-06-25,53.2,224494556.0
000025.SZ,2026-06-08,14.44,7858794.0
000025.SZ,2026-06-09,14.22,6437510.0
000025.SZ,2026-06-10,15.64,14985077.0
000025.SZ,2026-06-11,15.27,14745616.0
000025.SZ,2026-06-12,15.22,7735940.0
000025.SZ,2026-06-15,15.59,11096960.0
000025.SZ,2026-06-16,15.78,12066274.0
000025.SZ,2026-06-17,15.87,10321478.0
000025.SZ,2026-06-18,15.37,9470995.0
000025.SZ,2026-06-22,15.61,7620044.0
