instrument_code,valuation_date,price,volume
159007.SZ,2026-06-22,0.796,22043622.0
159007.SZ,2026-06-23,0.797,25947040.0
159007.SZ,2026-06-24,0.776,25191335.0
159007.SZ,2026-06-25,0.775,26356910.0
159008.SZ,2026-06-22,1.059,43685130.0
159008.SZ,2026-06-23,1.056,35587891.0
159008.SZ,2026-06-24,1.037,14637859.0
159008.SZ,2026-06-25,1.071,22802514.0
159009.SZ,2026-06-22,1.128,7182709.0
159009.SZ,2026-06-23,1.072,7910648.0
159009.SZ,2026-06-24,1.083,2658138.0
159009.SZ,2026-06-25,1.091,2509608.0
159010.SZ,2026-06-22,0.915,13622133.0
159010.SZ,2026-06-23,0.874,24111016.0
159010.SZ,2026-06-24,0.898,15024558.0
159010.SZ,2026-06-25,0.879,11573998.0
159012.SZ,2026-06-22,1.155,12658568.0
159012.SZ,2026-06-23,1.117,10878944.0
159012.SZ,2026-06-24,1.138,9999652.0
159012.SZ,2026-06-25,1.185,16701235.0
159013.SZ,2026-06-22,1.196,5311033.0
159013.SZ,2026-06-23,1.163,4298623.0
159013.SZ,2026-06-24,1.196,3213418.0
159013.SZ,2026-06-25,1.217,4725938.0
159015.SZ,2026-06-22,0.901,28208456.0
159015.SZ,2026-06-23,0.861,15622058.0
159015.SZ,2026-06-24,0.886,22237463.0
159015.SZ,2026-06-25,0.868,10142629.0
159016.SZ,2026-06-22,1.065,79111794.0
159016.SZ,2026-06-23,1.057,79907486.0
159016.SZ,2026-06-24,1.036,47333752.0
159016.SZ,2026-06-25,1.078,63207772.0
159017.SZ,2026-06-22,0.902,8308393.0
159017.SZ,2026-06-23,0.889,8402300.0
159017.SZ,2026-06-24,0.882,5284609.0
159017.SZ,2026-06-25,0.865,8061339.0
159018.SZ,2026-06-22,0.893,5673712.0
159018.SZ,2026-06-23,0.876,5328038.0
159018.SZ,2026-06-24,0.873,3376539.0
159018.SZ,2026-06-25,0.858,3108102.0
159019.SZ,2026-06-22,0.911,20614105.0
159019.SZ,2026-06-23,0.896,19872561.0
159019.SZ,2026-06-24,0.892,10638226.0
159019.SZ,2026-06-25,0.873,16121100.0
159020.SZ,2026-06-22,0.824,3054317.0
159020.SZ,2026-06-23,0.823,7983500.0
159020.SZ,2026-06-24,0.802,5304496.0
159020.SZ,2026-06-25,0.801,4972700.0
159021.SZ,2026-06-22,0.944,5052409.0
159021.SZ,2026-06-23,0.937,5805417.0
159021.SZ,2026-06-24,0.92,2716038.0
159021.SZ,2026-06-25,0.915,5842988.0
