future_code,multiplier,contract_unit,margin_rate,price_unit,delivery_date
T2509ZJ,1000000,手,0.02,100,2025-09-15
TF2509ZJ,1000000,手,0.012,100,2025-09-15
TS2509ZJ,1000000,手,0.005,100,2025-09-15
T2509,1000000,手,0.02,100,2025-09-15
TF2509,1000000,手,0.012,100,2025-09-15
TS2509,1000000,手,0.005,100,2025-09-15
T2506,1000000,手,0.02,100,2025-06-15
TF2506,1000000,手,0.012,100,2025-06-15
TS2506,1000000,手,0.005,100,2025-06-15
T2512,1000000,手,0.02,100,2025-12-15
TF2512,1000000,手,0.012,100,2025-12-15
TS2512,1000000,手,0.005,100,2025-12-15
TL2506,1000000,手,0.035,100,2025-06-15
TL2509,1000000,手,0.035,100,2025-09-15
TL2512,1000000,手,0.035,100,2025-12-15
A2507DL,10,吨/手,0.08,1,2025-07-15
AG2508SQ,15,千克/手,0.10,1,2025-08-15
AL2507SQ,5,吨/手,0.08,1,2025-07-15
C2507DL,10,吨/手,0.08,1,2025-07-15
CF2509ZZ,5,吨/手,0.08,1,2025-09-15
CU2507SQ,5,吨/手,0.10,1,2025-07-15
HC2510SQ,10,吨/手,0.10,1,2025-10-15
MA2509ZZ,10,吨/手,0.08,1,2025-09-15
NI2507SQ,1,吨/手,0.10,1,2025-07-15
P2509DL,10,吨/手,0.08,1,2025-09-15
PP2509DL,5,吨/手,0.08,1,2025-09-15
RB2510SQ,10,吨/手,0.10,1,2025-10-15
SR2509ZZ,10,吨/手,0.08,1,2025-09-15
TA2509ZZ,5,吨/手,0.08,1,2025-09-15
V2509DL,5,吨/手,0.08,1,2025-09-15
Y2509DL,10,吨/手,0.08,1,2025-09-15
ZN2507SQ,5,吨/手,0.08,1,2025-07-15
