instrument_code,product_type,classification,sub_classification
000001.SZ,EQUITYSPOT,A_SHARE,SZ_MAIN_BOARD
000002.SZ,EQUITYSPOT,A_SHARE,SZ_MAIN_BOARD
000333.SZ,EQUITYSPOT,A_SHARE,SZ_MAIN_BOARD
000423.SZ,EQUITYSPOT,A_SHARE,SZ_MAIN_BOARD
601088.SH,EQUITYSPOT,A_SHARE,SH_MAIN_BOARD
601166.SH,EQUITYSPOT,A_SHARE,SH_MAIN_BOARD
000300,EQUITYSPOT,EQUITY_INDEX,CSI300
CSI300,EQUITYSPOT,EQUITY_INDEX,CSI300
000905,EQUITYSPOT,EQUITY_INDEX,CSI500
CSI500,EQUITYSPOT,EQUITY_INDEX,CSI500
SH50,EQUITYSPOT,EQUITY_INDEX,SH50
IC2606,EQUITYFUTURE,INDEX_FUTURE,CSI500_FUTURE
IM2606,EQUITYFUTURE,INDEX_FUTURE,CSI1000_FUTURE
IH2606,EQUITYFUTURE,INDEX_FUTURE,SH50_FUTURE
IF2606,EQUITYFUTURE,INDEX_FUTURE,CSI300_FUTURE
159819.SZ,FUND,EQUITY_ETF,THEMATIC_ETF
510300.SH,FUND,EQUITY_ETF,INDEX_ETF
512400.SH,FUND,EQUITY_ETF,THEMATIC_ETF
512880.SH,FUND,EQUITY_ETF,THEMATIC_ETF
AU,PRECIOUSMETALSSPOT,PRECIOUS_METALS,GOLD
AG,PRECIOUSMETALSSPOT,PRECIOUS_METALS,SILVER
au2606,COMMODITYFUTURE,PRECIOUS_METALS_FUTURE,GOLD_FUTURE
ag2606,COMMODITYFUTURE,PRECIOUS_METALS_FUTURE,SILVER_FUTURE
lc2605,COMMODITYFUTURE,INDUSTRIAL_COMMODITY,LITHIUM_CARBONATE
SCM,COMMODITYFUTURE,BASE_METALS,COPPER
USD/CNY,FXSPOT,MAJOR_FX,USDCNY
EURUSD,FXSPOT,MAJOR_FX,EURUSD
EUR/USD,FXSPOT,MAJOR_FX,EURUSD
TL2606,BONDFUTURE,BOND_FUTURE,30Y_TREASURY
T2606,BONDFUTURE,BOND_FUTURE,10Y_TREASURY
TF2606,BONDFUTURE,BOND_FUTURE,5Y_TREASURY
