code,name,sector,weight,return
000333SZ,美的集团,家用电器,0.045,0.049
000975SZ,山金国际,其他,0.008,0.248
002352SZ,顺丰控股,其他,0.020,-0.225
002444SZ,巨星科技,其他,0.021,0.267
002594SZ,比亚迪,汽车,0.009,-0.722
300750SZ,宁德时代,电力设备,0.012,0.039
600276SH,恒瑞医药,医药生物,0.045,0.012
600309SH,万华化学,其他,0.022,0.011
600519SH,贵州茅台,食品饮料,0.130,0.015
600547SH,山东黄金,其他,0.009,0.091
510300SH,沪深300ETF,其他,0.025,0.085
510500SH,中证500ETF,其他,0.018,0.062
512100SH,中证1000ETF,其他,0.012,0.058
159545SZ,恒生高股息ETF,其他,0.006,0.091
510900SH,恒生国企ETF,其他,0.013,-0.017
513000SH,日经225ETF,其他,0.004,0.065
513130SH,恒生科技ETF,电子,0.009,0.003
