trade_code,price_code,price_file,asset_class
000333SZ,000333SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
000975SZ,000975SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
002352SZ,002352SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
002444SZ,002444SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
002594SZ,002594SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
008069OF,008069OF,FUND_PRICES_HIST.csv,fund
017156OF,017156OF,FUND_PRICES_HIST.csv,fund
018996OF,018996OF,FUND_PRICES_HIST.csv,fund
019482OF,019482OF,FUND_PRICES_HIST.csv,fund
020084OF,020084OF,FUND_PRICES_HIST.csv,fund
110008OF,110008.OF,FUND_PRICES_HIST.csv,fund
110059SH,110059SH,BOND_PRICES_HIST.csv,convertible_bond
123107SZ,123107SZ,BOND_PRICES_HIST.csv,convertible_bond
127017SZ,127017SZ,BOND_PRICES_HIST.csv,convertible_bond
159398SZ,159398SZ,FUND_PRICES_HIST.csv,commodity_etf
159545SZ,159545SZ,FUND_PRICES_HIST.csv,commodity_etf
159816SZ,159816SZ,FUND_PRICES_HIST.csv,commodity_etf
159985SZ,159985.SZ,FUND_PRICES_HIST.csv,commodity_etf
161115OF,161115OF,FUND_PRICES_HIST.csv,fund
161115SZ,161115SZ,FUND_PRICES_HIST.csv,equity_etf
252418SH,252418SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
300750SZ,300750SZ,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
510050SH,510050SH,FUND_PRICES_HIST.csv,equity_etf
510300SH,510300SH,FUND_PRICES_HIST.csv,equity_etf
510500SH,510500SH,FUND_PRICES_HIST.csv,equity_etf
510900SH,510900SH,FUND_PRICES_HIST.csv,equity_etf
511090SH,511090SH,FUND_PRICES_HIST.csv,bond_etf
511110SH,511110SH,FUND_PRICES_HIST.csv,bond_etf
511130SH,511130SH,FUND_PRICES_HIST.csv,bond_etf
511200SH,511200SH,FUND_PRICES_HIST.csv,bond_etf
511520SH,511520SH,FUND_PRICES_HIST.csv,bond_etf
512100SH,512100SH,FUND_PRICES_HIST.csv,equity_etf
513000SH,513000SH,FUND_PRICES_HIST.csv,equity_etf
513130SH,513130SH,FUND_PRICES_HIST.csv,equity_etf
518880SH,518880SH,FUND_PRICES_HIST.csv,gold
600276SH,600276SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
600309SH,600309SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
600519SH,600519SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
600547SH,600547SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
600938SH,600938SH,EQUITY_SPOT_PRICES_HIST.csv,equity_spot
