event_id,instrument_code,event_type,record_date,ex_date,pay_date,bonus_per_10,cash_per_10,qty_factor,cash_dps,currency,status,source,source_url,parse_method,confidence,validation_ok,review_status,reviewer,reviewed_at,review_note,note
0113.HK-2026-01-02,0113.HK,CASH,2026-01-07,2026-01-02,2026-01-21,0,3,1,0.3,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK0113/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,特别分配+中期分配; 每股派港币0.2元; 每股派港币0.1元
1658.HK-2026-01-02,1658.HK,CASH,2026-01-09,2026-01-02,2026-02-13,0,1.35649297,1,0.135649297,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK1658/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,中期分配; 每股派人民币0.123元(相当于港币0.135649297元)
2885.HK-2026-01-02,2885.HK,CASH,2026-01-08,2026-01-02,2026-01-19,0,0.7,1,0.07,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK2885/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,特别分配; 每股派港币0.07元
0384.HK-2026-01-05,0384.HK,CASH,2026-01-09,2026-01-05,2026-02-06,0,1.5,1,0.15,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK0384/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,中期分配; 每股派港币0.15元
1308.HK-2026-01-05,1308.HK,CASH,2026-01-12,2026-01-05,2026-01-15,0,7,1,0.7,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK1308/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,特别分配; 每股派美元0.09元(相当于港币0.7元)
1373.HK-2026-01-05,1373.HK,CASH,2026-01-09,2026-01-05,2026-02-04,0,0.3,1,0.03,HKD,IMPLEMENTED,eastmoney_hk,https://basic.10jqka.com.cn/176/HK1373/bonus.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,record_not_before_ex,中期分配; 每股派港币0.03元
601607.SH-2026-01-05,601607.SH,CASH,2025-12-31,2026-01-05,2026-01-05,0,1.2,1,0.12,CNY,IMPLEMENTED,eastmoney,https://data.eastmoney.com/yjfp/detail/601607.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,pay_date_derived_from_ex,"上海医药;实施分配;10派1.20元(含税,扣税后1.08元)"
603408.SH-2026-01-05,603408.SH,CASH,2025-12-31,2026-01-05,2026-01-05,0,1.9,1,0.19,CNY,IMPLEMENTED,eastmoney,https://data.eastmoney.com/yjfp/detail/603408.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,pay_date_derived_from_ex,"建霖家居;实施分配;10派1.90元(含税,扣税后1.71元)"
000600.SZ-2026-01-07,000600.SZ,CASH,2026-01-06,2026-01-07,2026-01-07,0,1,1,0.1,CNY,IMPLEMENTED,eastmoney,https://data.eastmoney.com/yjfp/detail/000600.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,pay_date_derived_from_ex,"建投能源;实施分配;10派1.00元(含税,扣税后0.90元)"
000617.SZ-2026-01-07,000617.SZ,CASH,2026-01-06,2026-01-07,2026-01-07,0,0.55,1,0.055,CNY,IMPLEMENTED,eastmoney,https://data.eastmoney.com/yjfp/detail/000617.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,pay_date_derived_from_ex,"中油资本;实施分配;10派0.55元(含税,扣税后0.495元)"
001233.SZ-2026-01-07,001233.SZ,CASH,2026-01-06,2026-01-07,2026-01-07,0,20,1,2,CNY,IMPLEMENTED,eastmoney,https://data.eastmoney.com/yjfp/detail/001233.html,structured,0.95,true,APPROVED,auto:eastmoney,2026-09-22T10:09:08,pay_date_derived_from_ex,"海安集团;实施分配;10派20.00元(含税,扣税后18.00元)"
